fecha,precio_apertura,precio_cierre,precio_max,precio_min,volumen,tendencia
2024-11-07,129.58,129.61,130.02,128.68,363625,1
2024-11-08,127.71,127.71,127.94,126.74,942840,0
2024-11-11,123.43,124.14,125.07,122.92,4494643,0
2024-11-12,123.52,122.6,124.92,121.89,225355,0
2024-11-13,120.54,120.01,122.23,119.51,4322102,0
2024-11-14,123.98,124.12,125.63,123.35,715937,1
2024-11-15,126.39,126.37,127.66,125.93,1475607,1
2024-11-18,126.55,126.41,127.1,125.6,119477,1
2024-11-19,128.89,130.22,132.88,128.11,3656210,1
2024-11-20,130.32,130.48,131.07,129.08,2587111,1
2024-11-21,127.87,128.3,128.49,127.14,2109606,0
2024-11-22,131.61,132.28,133.91,131.24,1659757,1
2024-11-25,133.58,133.77,135.91,132.44,4699409,1
2024-11-26,132.24,131.06,134.42,131.03,3532207,0
2024-11-27,131.04,130.63,132.31,129.7,4567890,0
2024-11-28,128.04,128.4,129.46,127.87,1981297,0
2024-11-29,125.27,124.92,125.87,124.17,923759,0
